,Sentence,Intent,Color,Item
0,olmdeaokgix,unknown,unknown,unknown
1,klmfrqzzetoyfri,unknown,unknown,unknown
2,hczf,unknown,unknown,unknown
3,hwcjzlmbyzj,unknown,unknown,unknown
4,ufpgerjqzj,unknown,unknown,unknown
5,jpjovpbrdbx,unknown,unknown,unknown
6,kfhp,unknown,unknown,unknown
7,jsfb,unknown,unknown,unknown
8,rityzyv,unknown,unknown,unknown
9,bgvqsiuw,unknown,unknown,unknown
10,saipcfqfgt,unknown,unknown,unknown
11,zjpoar,unknown,unknown,unknown
12,oordjwnggnbwnpk,unknown,unknown,unknown
13,sefzocelmyapbkfvxi,unknown,unknown,unknown
14,how much does a blue shirt cost,Asking for the price,blue,shirt
15,what is the price of a cyan body,Asking for the price,cyan,body
16,how much does a purple hat cost,Asking for the price,purple,hat
17,pkeeyzxvyzaovjepaws,unknown,unknown,unknown
18,jpkvxbnbzfxdpsunglm,unknown,unknown,unknown
19,I want to add a jacket is there available,Making Order,unknown,jacket
20,glmgjqvsfbp,unknown,unknown,unknown
21,aanvnit,unknown,unknown,unknown
22,ieophjveudeqjvo,unknown,unknown,unknown
23,cwgxq,unknown,unknown,unknown
24,rzovkcuyv,unknown,unknown,unknown
25,zayortr,unknown,unknown,unknown
26,jcnxviyzfguncnci,unknown,unknown,unknown
27,jsqt,unknown,unknown,unknown
28,ujdtanofaenonahopz,unknown,unknown,unknown
29,vvfhspaqh,unknown,unknown,unknown
30,pqhv,unknown,unknown,unknown
31,saecurnjnqv,unknown,unknown,unknown
32,hnqbzsa,unknown,unknown,unknown
33,cbytbfjqizb,unknown,unknown,unknown
34,wgaswyiuywlmn,unknown,unknown,unknown
35,utgsaagivvneravbqy,unknown,unknown,unknown
36,I'd like to buy a jeans i am looking for,Making Order,unknown,jeans
37,crsgvdgaevbewpvoax,unknown,unknown,unknown
38,oblmejsdzorwz,unknown,unknown,unknown
39,hdilmqwtf,unknown,unknown,unknown
40,lmtnnky,unknown,unknown,unknown
41,jayabsduggkybwuqdk,unknown,unknown,unknown
42,crzqeupnvotuecp,unknown,unknown,unknown
43,i am looking for a cyan shoes,Check Availability,cyan,shoes
44,ezpailmgzafv,unknown,unknown,unknown
45,uergduqgiypoukeew,unknown,unknown,unknown
46,nyni,unknown,unknown,unknown
47,gfgogikfvb,unknown,unknown,unknown
48,ayn,unknown,unknown,unknown
49,htqbdpohn,unknown,unknown,unknown
50,vwrcfaz,unknown,unknown,unknown
51,typrxkxevcp,unknown,unknown,unknown
52,rlmcve,unknown,unknown,unknown
53,pbfjqztlmecwhds,unknown,unknown,unknown
54,wdsjlmccnryfpotx,unknown,unknown,unknown
55,ehwtygbucb,unknown,unknown,unknown
56,sfvoahhhckse,unknown,unknown,unknown
57,flmpvc,unknown,unknown,unknown
58,ijucdnbdvxi,unknown,unknown,unknown
59,kzzkahlmbqgkxon,unknown,unknown,unknown
60,hnonzp,unknown,unknown,unknown
61,hqsirgxe,unknown,unknown,unknown
62,ujtnzyqqwidnukis,unknown,unknown,unknown
63,fwyekkbusquzpxpdes,unknown,unknown,unknown
64,ixdvsrkxeblmjtn,unknown,unknown,unknown
65,rwhoueg,unknown,unknown,unknown
66,bhkktghcz,unknown,unknown,unknown
67,xxydtrgwysosnukky,unknown,unknown,unknown
68,is the yellow body expensive ?,Check Availability,yellow,body
69,lmaeshqiivlml,unknown,unknown,unknown
70,xkgsokqf,unknown,unknown,unknown
71,jvcgxvlmyelm,unknown,unknown,unknown
72,vdxvptvgsfxe,unknown,unknown,unknown
73,I'd like to add a shirt do you have,Making Order,unknown,shirt
74,yncbbwnd,unknown,unknown,unknown
75,cuntgbpfpbycifni,unknown,unknown,unknown
76,dwzikwjdrt,unknown,unknown,unknown
77,rtbxjtreehbif,unknown,unknown,unknown
78,fzjyyoccvcgp,unknown,unknown,unknown
79,ilmplm,unknown,unknown,unknown
80,vfnia,unknown,unknown,unknown
81,wukyvvaqrtcnbkoxn,unknown,unknown,unknown
82,wottkiifggui,unknown,unknown,unknown
83,gzhyugj,unknown,unknown,unknown
84,ybxoarzdaswtyvqaqrg,unknown,unknown,unknown
85,jozklmjyfehkdjbje,unknown,unknown,unknown
86,is there a gray short,Check Availability,gray,short
87,tdfqsgtjpqsjewaj,unknown,unknown,unknown
88,nsgeclml,unknown,unknown,unknown
89,yep,unknown,unknown,unknown
90,sdgklmihncorf,unknown,unknown,unknown
91,eqhdunqbwgqca,unknown,unknown,unknown
92,nedyjkjywpnuxug,unknown,unknown,unknown
93,xt,unknown,unknown,unknown
94,cxu,unknown,unknown,unknown
95,yegdxewveooffdpwkn,unknown,unknown,unknown
96,what about a yellow shoes,Check Availability,yellow,shoes
97,dqflmiyhwwudf,unknown,unknown,unknown
98,hhgfpglmqp,unknown,unknown,unknown
99,yslmnko,unknown,unknown,unknown
100,lmoarpjqyn,unknown,unknown,unknown
101,wauvbqwxc,unknown,unknown,unknown
102,rspjnsxlmz,unknown,unknown,unknown
103,twunuusnxezndolmkyn,unknown,unknown,unknown
104,zxbgvuifj,unknown,unknown,unknown
105,gnqpq,unknown,unknown,unknown
106,agsvpsiuopnzstfuzdl,unknown,unknown,unknown
107,fdke,unknown,unknown,unknown
108,may i ask for a cyan pullover,Check Availability,cyan,pullover
109,qcopgdgfcsgswzcy,unknown,unknown,unknown
110,clmzeuehlmseydgws,unknown,unknown,unknown
111,zgfdccipikfunhnel,unknown,unknown,unknown
112,ntzakab,unknown,unknown,unknown
113,nignktblmgfvqwfghzo,unknown,unknown,unknown
114,wwj,unknown,unknown,unknown
115,fnuzokjbz,unknown,unknown,unknown
116,yyxzirvfcdrkqhk,unknown,unknown,unknown
117,I'd like to order a body i am looking for,Making Order,unknown,body
118,ezkkhanctai,unknown,unknown,unknown
119,rhzjlmarfdgrrbgp,unknown,unknown,unknown
120,esnapiujcurseukpo,unknown,unknown,unknown
121,lmbdntkq,unknown,unknown,unknown
122,croga,unknown,unknown,unknown
123,fbcagys,unknown,unknown,unknown
124,jnrbstbsiwsuxysq,unknown,unknown,unknown
125,fjnp,unknown,unknown,unknown
126,ctlmpdhagjrwyee,unknown,unknown,unknown
127,bhpdqohycqxc,unknown,unknown,unknown
128,svyudakfepauvzudlmo,unknown,unknown,unknown
